,asset,scenario,param,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
2,SR,12,12,0.5964362935,386,40.2887072141,255,-430,204,0.8976744186,175,-101,0.44,22,28,74.3181818182,-52.1428571429
3,SR,7,7,0.5301546681,312,36.6363411305,255,-499,219,0.625250501,82,-139,0.3913043478,27,42,68.4444444444,-42.0476190476
4,SR,8,8,0.520618341,311,37.1878452521,255,-530,219,0.5867924528,102,-129,0.390625,25,39,74.2,-44.9487179487
5,SR,18,18,0.4039928107,237,36.5203389246,255,-563,51,0.4209591474,79,-121,0.4666666667,28,32,61.8928571429,-51.6875
6,SR,13,13,0.3948027395,255,40.2087074833,255,-467,204,0.5460385439,56,-97,0.4166666667,20,27,75,-53.4814814815
7,SR,5,5,0.3730618272,240,40.0488932307,255,-486,36,0.4938271605,37,-91,0.4222222222,19,25,78.2631578947,-58
8,SR,3,3,0.3182468661,199,38.9268292983,255,-579,57,0.3436960276,-29,-107,0.4339622642,23,30,74.2173913043,-57.8666666667
9,SR,19,19,0.3063566765,181,36.7799653125,255,-602,51,0.3006644518,39,-113,0.4464285714,25,30,68.36,-55.6666666667
0,TA,14,14,0.4990812125,332,41.4120712089,255,-590,78,0.5627118644,-120,-352,0.375,33,54,65.5757575758,-42.2962962963
1,TA,13,13,0.2121469918,158,46.3639361427,255,-596,77,0.2651006711,-50,-196,0.4285714286,21,27,73.9047619048,-59.3333333333
2,TA,7,7,0.1372927275,96,43.52951116,255,-726,78,0.132231405,-288,-328,0.3658536585,30,51,71.1333333333,-47.4901960784
3,TA,15,15,0.1227337268,82,41.5920207072,255,-686,133,0.1195335277,-318,-340,0.3647058824,31,54,64.7741935484,-43.0740740741
4,TA,12,12,0.1164120942,86,45.9896854269,255,-710,77,0.1211267606,-134,-212,0.4339622642,23,30,69.3913043478,-57.6666666667
5,TA,8,8,0.1080675434,74,42.628154419,255,-712,133,0.1039325843,-280,-292,0.4246575342,31,42,62.9032258065,-53.0952380952
6,TA,2,2,0.0659887075,50,47.1694130541,255,-796,85,0.0628140704,-210,-260,0.4307692308,28,37,70.9285714286,-59.3513513514
7,TA,9,9,0.0588541264,42,44.4255141611,255,-788,133,0.0532994924,-258,-276,0.4202898551,29,39,66.4137931034,-56
8,TA,10,10,-0.0202333445,-14,43.0745202729,255,-746,133,-0.018766756,-318,-256,0.421875,27,36,64.1481481481,-56.9444444444
